Date/Time,Counts
02/Jun/23 20:08:58,21
02/Jun/23 20:09:58,19
02/Jun/23 20:10:58,18
02/Jun/23 20:11:58,15
02/Jun/23 20:12:58,18
02/Jun/23 20:13:58,18
02/Jun/23 20:14:58,21
02/Jun/23 20:15:58,23
02/Jun/23 20:16:58,25
02/Jun/23 20:17:58,24
02/Jun/23 20:18:58,24
02/Jun/23 20:19:58,11
02/Jun/23 20:20:58,12
02/Jun/23 20:21:58,20
02/Jun/23 20:22:58,16
02/Jun/23 20:23:58,10
02/Jun/23 20:24:58,23
02/Jun/23 20:25:58,26
02/Jun/23 20:26:58,15
02/Jun/23 20:27:58,18
02/Jun/23 20:28:58,20
02/Jun/23 20:29:58,17
02/Jun/23 20:30:58,24
02/Jun/23 20:31:58,22
02/Jun/23 20:32:58,30
02/Jun/23 20:33:58,15
02/Jun/23 20:34:58,17
02/Jun/23 20:35:58,20
02/Jun/23 20:36:58,16
02/Jun/23 20:37:58,21
02/Jun/23 20:38:58,11
02/Jun/23 20:39:58,31
02/Jun/23 20:40:58,26
02/Jun/23 20:41:58,16
02/Jun/23 20:42:58,9
02/Jun/23 20:43:58,19
02/Jun/23 20:44:58,22
02/Jun/23 20:45:58,24
02/Jun/23 20:46:58,13
02/Jun/23 20:47:58,15
02/Jun/23 20:48:58,14
02/Jun/23 20:49:58,17
02/Jun/23 20:50:58,28
02/Jun/23 20:51:58,17
02/Jun/23 20:52:58,16
02/Jun/23 20:53:58,15
02/Jun/23 20:54:58,22
02/Jun/23 20:55:58,20
02/Jun/23 20:56:58,15
02/Jun/23 20:57:58,19
02/Jun/23 20:58:58,23
02/Jun/23 20:59:58,25
02/Jun/23 21:00:58,24
02/Jun/23 21:01:58,25
02/Jun/23 21:02:58,28
02/Jun/23 21:03:58,23
02/Jun/23 21:04:58,19
02/Jun/23 21:05:58,20
02/Jun/23 21:08:00,17
02/Jun/23 21:09:00,21
02/Jun/23 21:10:00,19
02/Jun/23 21:11:00,20
02/Jun/23 21:12:00,17
02/Jun/23 21:13:00,18
02/Jun/23 21:14:00,22
02/Jun/23 21:15:00,19
02/Jun/23 21:16:00,14
02/Jun/23 21:17:00,18
02/Jun/23 21:18:00,21
02/Jun/23 21:19:00,18
02/Jun/23 21:20:00,30
02/Jun/23 21:21:00,19
02/Jun/23 21:22:00,33
02/Jun/23 21:23:00,18
02/Jun/23 21:24:00,20
02/Jun/23 21:25:00,18
02/Jun/23 21:26:00,21
02/Jun/23 21:27:00,27
02/Jun/23 21:28:00,32
02/Jun/23 21:29:00,25
02/Jun/23 21:30:00,22
02/Jun/23 21:31:00,17
02/Jun/23 21:32:00,21
02/Jun/23 21:33:00,15
02/Jun/23 21:34:00,16
02/Jun/23 21:35:00,25
02/Jun/23 21:36:00,27
02/Jun/23 21:37:00,21
02/Jun/23 21:38:00,19
02/Jun/23 21:39:00,16
02/Jun/23 21:40:00,22
02/Jun/23 21:41:00,11
02/Jun/23 21:42:00,24
02/Jun/23 21:43:00,19
02/Jun/23 21:44:00,26
02/Jun/23 21:45:00,26
02/Jun/23 21:46:00,18
02/Jun/23 21:47:00,19
02/Jun/23 21:48:00,23
02/Jun/23 21:49:00,21
02/Jun/23 21:50:00,25
02/Jun/23 21:51:00,27
02/Jun/23 21:52:00,13
02/Jun/23 21:53:00,13
02/Jun/23 21:54:00,18
02/Jun/23 21:55:00,21
02/Jun/23 21:56:00,13
02/Jun/23 21:57:00,24
02/Jun/23 21:58:00,21
02/Jun/23 21:59:00,17
02/Jun/23 22:00:00,16
02/Jun/23 22:01:00,18
