Date/Time,Counts
08/Jun/23 16:47:58,14
08/Jun/23 16:48:58,27
08/Jun/23 16:49:58,22
08/Jun/23 16:50:58,25
08/Jun/23 16:51:58,17
08/Jun/23 16:52:58,22
08/Jun/23 16:53:58,19
08/Jun/23 16:54:58,23
08/Jun/23 16:55:58,17
08/Jun/23 16:56:58,17
08/Jun/23 16:57:58,13
08/Jun/23 16:58:58,22
08/Jun/23 16:59:58,19
08/Jun/23 17:00:58,11
08/Jun/23 17:01:58,15
08/Jun/23 17:02:58,27
08/Jun/23 17:03:58,18
08/Jun/23 17:04:58,21
08/Jun/23 17:05:58,16
08/Jun/23 17:06:58,21
08/Jun/23 17:07:58,21
08/Jun/23 17:08:58,16
08/Jun/23 17:09:58,15
08/Jun/23 17:10:58,28
08/Jun/23 17:11:58,21
08/Jun/23 17:12:58,24
08/Jun/23 17:13:58,15
08/Jun/23 17:14:58,21
08/Jun/23 17:15:58,23
08/Jun/23 17:16:58,20
08/Jun/23 17:17:58,23
08/Jun/23 17:18:58,23
08/Jun/23 17:19:58,16
08/Jun/23 17:20:58,19
08/Jun/23 17:21:58,20
08/Jun/23 17:22:58,26
08/Jun/23 17:23:58,19
08/Jun/23 17:24:58,14
08/Jun/23 17:25:58,17
08/Jun/23 17:26:58,24
08/Jun/23 17:27:58,22
08/Jun/23 17:28:58,19
08/Jun/23 17:29:58,19
08/Jun/23 17:30:58,24
08/Jun/23 17:31:58,16
08/Jun/23 17:32:58,21
08/Jun/23 17:33:58,9
08/Jun/23 17:34:58,22
08/Jun/23 17:35:58,22
08/Jun/23 17:36:58,24
08/Jun/23 17:37:58,23
08/Jun/23 17:38:58,17
08/Jun/23 17:39:58,20
08/Jun/23 17:40:58,20
08/Jun/23 17:41:58,19
08/Jun/23 17:42:58,19
08/Jun/23 17:43:58,23
08/Jun/23 17:44:58,21
08/Jun/23 17:47:34,18
08/Jun/23 17:48:34,13
08/Jun/23 17:49:34,21
08/Jun/23 17:50:34,18
08/Jun/23 17:51:34,24
08/Jun/23 17:52:34,22
08/Jun/23 17:53:34,16
08/Jun/23 17:54:34,25
08/Jun/23 17:55:34,15
08/Jun/23 17:56:34,13
08/Jun/23 17:57:34,20
08/Jun/23 17:58:34,22
08/Jun/23 17:59:34,14
08/Jun/23 18:00:34,16
08/Jun/23 18:01:34,17
08/Jun/23 18:02:34,15
08/Jun/23 18:03:34,15
08/Jun/23 18:04:34,20
