Date/Time,Counts
10/Jun/23 12:41:58,27
10/Jun/23 12:42:58,22
10/Jun/23 12:43:58,28
10/Jun/23 12:44:58,11
10/Jun/23 12:45:58,26
10/Jun/23 12:46:58,17
10/Jun/23 12:47:58,20
10/Jun/23 12:48:58,18
10/Jun/23 12:49:58,16
10/Jun/23 12:50:58,24
10/Jun/23 12:51:58,17
10/Jun/23 12:52:58,12
10/Jun/23 12:53:58,21
10/Jun/23 12:54:58,16
10/Jun/23 12:55:58,21
10/Jun/23 12:56:58,12
10/Jun/23 12:57:58,23
10/Jun/23 12:58:58,21
10/Jun/23 12:59:58,13
10/Jun/23 13:00:58,23
10/Jun/23 13:01:58,23
10/Jun/23 13:02:58,17
10/Jun/23 13:03:58,29
10/Jun/23 13:04:58,16
10/Jun/23 13:05:58,13
10/Jun/23 13:06:58,22
10/Jun/23 13:07:58,19
10/Jun/23 13:08:58,18
10/Jun/23 13:09:58,22
10/Jun/23 13:10:58,20
10/Jun/23 13:11:58,28
10/Jun/23 13:12:58,26
10/Jun/23 13:13:58,14
10/Jun/23 13:14:58,25
10/Jun/23 13:15:58,23
10/Jun/23 13:16:58,13
10/Jun/23 13:17:58,16
10/Jun/23 13:18:58,19
10/Jun/23 13:19:58,23
10/Jun/23 13:20:58,20
10/Jun/23 13:21:58,19
10/Jun/23 13:22:58,16
10/Jun/23 13:23:58,14
10/Jun/23 13:24:58,23
10/Jun/23 13:25:58,26
10/Jun/23 13:26:58,22
10/Jun/23 13:27:58,23
10/Jun/23 13:28:58,17
10/Jun/23 13:29:58,23
10/Jun/23 13:30:58,17
10/Jun/23 13:31:58,23
10/Jun/23 13:32:58,22
10/Jun/23 13:33:58,16
10/Jun/23 13:34:58,20
10/Jun/23 13:35:58,21
10/Jun/23 13:36:58,24
10/Jun/23 13:37:58,20
10/Jun/23 13:38:58,21
10/Jun/23 13:41:28,19
10/Jun/23 13:42:28,18
10/Jun/23 13:43:28,18
10/Jun/23 13:44:28,26
